date,date_ran,price,price_num,query_id,title,type,url
Jan  1,2014/01/02,$795,795.0,0,Beautiful Comfortable Small Leather Couch,furniture - by dealer,boston.craigslist.org/nos/fud/4256132617.html
Dec 30,2014/01/02,$150,150.0,0,Beautiful Blue couch,furniture - by owner,boston.craigslist.org/sob/fuo/4265785063.html
Dec 27,2014/01/02,$999,999.0,0,Barrit Mid Century Modern couch and chair,antiques - by owner,boston.craigslist.org/gbs/atq/4261170235.html
Dec 31,2014/01/02,$95,95.0,0,Baby Blue Microfiber Lg 3 Cushion Couch,furniture - by owner,boston.craigslist.org/nos/fuo/4266601015.html
Dec 26,2014/01/02,$400,400.0,0,BLOOMINGDALES COUCH,furniture - by owner,boston.craigslist.org/gbs/fuo/4260008085.html
Dec 30,2014/01/02,$600,600.0,0,Ashley Furniture Couch with Chaise (Like New!),furniture - by owner,boston.craigslist.org/sob/fuo/4265694840.html
Dec 26,2014/01/02,$80,80.0,0,3 seater couch for Sale!!,furniture - by owner,boston.craigslist.org/nwb/fuo/4259362172.html
Dec 26,2014/01/02,$99,99.0,0,***Couch for sale - Good condition***,furniture - by owner,boston.craigslist.org/gbs/fuo/4259240327.html
Dec 29,2014/01/02,$2750,2750.0,0,***AMAZING Leather Couch and matching Loveseat***,furniture - by owner,boston.craigslist.org/gbs/fuo/4232407555.html
Jan  1,2014/01/02,$350,350.0,0, Great BROYHILL Couch & Matching Love seat! 2 for the price of 1!!,furniture - by owner,boston.craigslist.org/gbs/fuo/4267426901.html
